Start Date,Year,Cycle,ENL,RES
10/19/2024 13:00:00,2024,41,627000,198000
10/26/2024 20:00:00,2024,42,620000,295000
11/3/2024 3:00:00,2024,43,302000,266000
11/10/2024 10:00:00,2024,44,622000,187000
11/17/2024 17:00:00,2024,45,568000,175000
11/25/2024 0:00:00,2024,46,368000,243000
12/2/2024 7:00:00,2024,47,533000,230000
12/9/2024 14:00:00,2024,48,702000,189000
12/16/2024 21:00:00,2024,49,585000,167000
12/24/2024 4:00:00,2024,50,558000,181000
12/31/2024 11:00:00,2024,51,1000000,460000
1/7/2025 18:00:00,2025,01,734000,558000
1/15/2025 1:00:00,2025,02,1000000,230000
1/22/2025 8:00:00,2025,03,1400000,318000
1/29/2025 15:00:00,2025,04,1400000,296000
2/5/2025 22:00:00,2025,05,1400000,296000
2/13/2025 5:00:00,2025,06,1500000,202000
2/20/2025 12:00:00,2025,07,1000000,302000
2/27/2025 19:00:00,2025,08,948000,284000
3/7/2025 2:00:00,2025,09,1200000,310000
3/14/2025 9:00:00,2025,10,1200000,339000
3/21/2025 16:00:00,2025,11,1100000,198000
3/28/2025 23:00:00,2025,12,1300000,172000
4/5/2025 6:00:00,2025,13,1100000,211000
4/12/2025 13:00:00,2025,14,1200000,183000
4/19/2025 20:00:00,2025,15,1300000,173000
4/27/2025 3:00:00,2025,16,1300000,247000
5/4/2025 10:00:00,2025,17,1300000,252000
5/11/2025 17:00:00,2025,18,1400000,251000
5/19/2025 0:00:00,2025,19,1500000,170000
